candidate_id,category,role,candidate_order,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,requested_D_nm,requested_Psi_deg,J1_center_x_nm,J1_center_y_nm,J2_center_x_nm,J2_center_y_nm,H_nm,period_x_nm,period_y_nm,material,direct_gap_nm,periodic_gap_nm,integer_or_half_grid_centers,primitive_valid,manufacturing_pass,exact_geometry_hash_sha256,canonical_relative_geometry_hash_sha256,symmetry_equivalence_geometry_hash_sha256,duplicate_against_formal,planning_status,physics_status,prediction_status,wavelength_authorization,fixed_contract_hash,smoke_order,smoke_status,smoke_physics_label
LPML_R1_GLOBAL_SOBOL_011,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,11,112,106,101,198.0101007524616,-0.5787255656077621,198.0101007524616,-0.5787255656077621,-99.0,1.0,99.0,-1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,86.0101007524616,122.0,True,True,True,ffd391a0f097d702fbc93685fe37f92d87887ce1b74011102cbcac818f8f568a,0ebe03e0802eb051e1571fbace9c4305c6de9d6d838edd1bef17f682a883e43c,8e5e8fa1197e4491c72e65da1e6701fa5bd228126254230f1c15aa4ba54cce6c,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_012,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,12,110,108,99,202.00990074746338,0.5672664098579344,202.00990074746338,0.5672664098579344,-101.0,-1.0,101.0,1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,92.00990074746338,120.0,True,True,True,029a7e27700db1709cdda224b0fd26e01497455f44389c620e8365aeb95dfd8c,ab7e217a47c486bdefd216712be97a15487974bd2d59a4723c0b99a9d6ed2aff,9319cdbc8e44e98c17e5ba11c8057cf4989d7f6db69f461730423d1159ca370e,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_013,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,13,109,107,99,200.0399960007998,1.1457628381751033,200.0399960007998,1.1457628381751033,-100.0,-2.0,100.0,2.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,91.03999600079979,123.0,True,True,True,70037d07457c9593c78d1bbc8bb358e6970c04c5c520d0c7ac77e5e6a26152b5,d2c905ab1062ca5a47546385cd2e7df731bbb74595df3c41dd93a44e3029e2ca,be25be85306b89f675e4eb2969b66571fdad2668f711fa559d77e1e62770f661,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_014,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,14,111,109,101,196.0,0.0,196.0,0.0,-98.0,-0.0,98.0,0.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,85.0,125.0,True,True,True,da14685f3d9c20a7262d1afe9805f2cb9cb861e38d7b61dd40efc0f8bdb9c3bf,6e9135162517b1413a1712ac5f9aab1ced9cf0878cc76a69cf1bbf4ee14f11de,833bb5a0d0b1610b6f3e4ddd83ecb13abc29430672a696d47e78446de162e3e3,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_015,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,15,110,108,98,202.00990074746338,-0.5672664098579344,202.00990074746338,-0.5672664098579344,-101.0,1.0,101.0,-1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,92.00990074746338,120.0,True,True,True,162f7b76936f295f9a02464524097be676d511cd43755d5973f61a302e80d39c,73cde97af5c0e9f99752011209b3d9388871502bb1a49cc5b85a4e0c4670f75a,0f30b64df4861c0c4e906a5a13fda7d0e800c81db965cb131c7b7028217f7669,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_016,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,16,108,110,100,198.0101007524616,0.5787255656077621,198.0101007524616,0.5787255656077621,-99.0,-1.0,99.0,1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,90.0101007524616,126.0,True,True,True,bdc1e59eb700912d21eac89839dba86c1051c3ebf989a3e4cd9d83829572fe7a,56d01b473d6a964b70300f89c46dd3e95f4145e77e2e0679322d4d7585994316,5542ba7915e3ef023b9e3ff3879307bca69b684e4fcf17bba9790dc6cc6a5c5a,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_017,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,17,108,108,100,201.00995000248122,-0.5700884449988864,201.00995000248122,-0.5700884449988864,-100.5,1.0,100.5,-1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,93.00995000248122,123.0,True,True,True,90a68b07d0081c877b74aaca9a759f3c76bca2352ef3dbe8428cc9cc35b71f82,8bf3af9b8c6878f613e5a256a557248b1faef82cd0bb4e3200438ea8954882ec,052f75c6c243d0f6857de4ada104fb1400a8b7277e96e69f8129f7ca37e3b395,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_018,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,18,110,110,102,197.01015202268132,0.581663057505372,197.01015202268132,0.581663057505372,-98.5,-1.0,98.5,1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,87.01015202268132,125.0,True,True,True,649d88d6fdb5aa292229567341976eaf7a9660d19631fc5ac37bd6769d257f1f,af561a4ba5e1cce6d93a6589fed0bb916479e6715459f56642188835dfc0d3ad,e883bffda4d6341c7ba6e50fd465d8f38eea6bb9a28f8a95cf5a0c26e35a5ace,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_019,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,19,111,107,99,203.0,0.0,203.0,0.0,-101.5,-0.0,101.5,0.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,92.0,118.0,True,True,True,47191f56e54294387a502e1c34925d11fb60abea8ca9a7a36bc882913fb423b8,012a6616bf925922381a2852d14e4f7ed6c216d2aeb3a3db5b45772a2def16a9,a7dc0c2b78793b9a844f5569be1a42a7d79dcf88ab9e833509c6a30a95aa8623,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_020,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,20,109,109,101,199.04019694524018,-1.1515188939637642,199.04019694524018,-1.1515188939637642,-99.5,2.0,99.5,-2.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,90.04019694524018,124.0,True,True,True,b73304004bbd824486d601f3581187eafe129f9b1356b586d8ecebc22e557f8e,a016aca1712ec6b9d57c636cd99cffebfbf3c8618b527216d2c4929a904942a7,488bab26205279f9ded68189df709a888a0aeffd7cb965a4a82fa9cf4ffe8848,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_021,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,21,110,106,101,198.022725968511,-0.8680514497455426,198.022725968511,-0.8680514497455426,-99.0,1.5,99.0,-1.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,88.022725968511,124.0,True,True,True,eaf3dae4c660d6e5a2c3db2304e373ad31455340024ab2e1ad2028d738d82b22,71525c47804a6042f85b19831f05c7ba6affe02a714a0e62efba43ff76917279,7989795a4497f9d38696d452210c9a72568e6e7862c5992fc5d33bd8da74be57,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_022,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,22,112,108,99,202.0024752323595,0.2836401557578161,202.0024752323595,0.2836401557578161,-101.0,-0.5,101.0,0.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,90.0024752323595,118.0,True,True,True,8f062bbe99f1170e9e231e7abb39b85a24bcdfbc85d577f61a1f7cbb41349901,d9c53aa8a5ae1afbea83602be0b4e3b410ffee070a9dd9674bbb6b5485dc2a5f,903618e0c805c12dfc7a8cb22066da7e6453fbed69d9f029a65458000cea9cc2,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_023,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,23,111,107,100,196.02295783912655,0.8769077414306453,196.02295783912655,0.8769077414306453,-98.0,-1.5,98.0,1.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,85.02295783912655,125.0,True,True,True,b891e7a5f2a6c2ac19f30ad2402b46eb51ac7f91907650dd889e9785c4cf22b7,20e3304a1c9d3651ea3262d16f6092839261756e7c615d895f39bcf1b90237c7,7cfd26a01b96aa353ceb6c80256b3f1bdb05fa94adf59f9a9f6af3c3058ac6d6,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_024,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,24,109,109,98,200.0024999843752,-0.2864765102770745,200.0024999843752,-0.2864765102770745,-100.0,0.5,100.0,-0.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,91.00249998437519,123.0,True,True,True,50bcfeb7822e80b7e251e756a4dc3e714a81c326d230586963c1aa4f480c0963,311963771e00237f0f9fd45c6e42861d155c5009005d24b0f3a5bc1b7adae2d4,f96f0109ea53a5b0f97d40f38858fab52f1a3a5251495470cb611a5ab284ae7c,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_025,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,25,109,107,100,203.0221662774782,0.8466740238615051,203.0221662774782,0.8466740238615051,-101.5,-1.5,101.5,1.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,94.02216627747819,120.0,True,True,True,1bf83fd23ecb92bdfb9f8b4aba194fccb130b5983b27f702c978bd04dd674120,d90aa0f4fce218894772ea1121461a445aa83f41f6b6ccb3f14372de43e0f09e,41b0a90e4b8df4d6c98dc034e2873a9ceb67bea7d2e563a6999d1410c480fb17,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_026,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,26,111,109,98,199.00251254695254,-0.28791606655709323,199.00251254695254,-0.28791606655709323,-99.5,0.5,99.5,-0.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,88.00251254695254,122.0,True,True,True,40094426c2d1ec8c34ccbb20a70e0f9dc07d6c3e427ffc3f6942ebdc0cc2415f,d146cbfb7b26bb913eb5ef83376cece1752df856237435fc1bbb1adccb641748,55ef253ce276e67bd59477357b49ebac159a3b1393eeeee9ea0956c93e4538ca,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_027,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,27,112,108,101,201.02238681301145,-0.8550973962667232,201.02238681301145,-0.8550973962667232,-100.5,1.5,100.5,-1.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,89.02238681301145,119.0,True,True,True,f211b94fe3b10041daa8a76fb6db464443efd1e018ad280f60be356ffdef45fe,1a1a04f1dee1e2a84881552810d69e5f782967f68bc5e5fb793755be9869ffe9,bf134e825d6593d50732523bffeaaf03e41afce0ca625de560d648f1c65d2f33,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_028,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,28,110,110,99,197.00253805471644,0.29083902235055187,197.00253805471644,0.29083902235055187,-98.5,-0.5,98.5,0.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,87.00253805471644,125.0,True,True,True,1af24b83ecbc3e680dbe55907777921dcabee99b9cdf50b287bc884464d0897c,28ffa55c1b2f3d0374b1da502ff259aa07fd3cddc9c80c26d918ac504398f73f,3f6f84fd7cfb0115a60350af6019893314842c5811455e061878d2c0981255b9,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_029,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,29,109,107,99,198.0101007524616,0.5787255656077621,198.0101007524616,0.5787255656077621,-99.0,-1.0,99.0,1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,89.0101007524616,125.0,True,True,True,78480ac30216091e83df27f6db7ff3c9937effbf8f680f14fe1761c7bfd0fa23,3bb3b4a33d307aa29dbd1a7a0e5903e92c430356053120736b62d8bf23985a98,1fd52fe9bfc5f4a3b25a4b409c97db8e44fa54594f41a5240d54c56b4243af4a,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_030,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,30,111,109,101,202.00990074746338,-0.5672664098579344,202.00990074746338,-0.5672664098579344,-101.0,1.0,101.0,-1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,91.00990074746338,119.0,True,True,True,4eae14bb2080237dfd62f118f15d0ccb2c0accd48c47d013062c15934b793def,34c163279eabc2d4ab0939deb5f3a47db8da414f0f57753f95bec0c694bf629a,99c27f0b8089ad30c3f0366ec3d398fa28d2f4a411ed66442be3111222a26ade,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_031,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,31,110,106,100,200.0,0.0,200.0,0.0,-100.0,-0.0,100.0,0.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,90.0,122.0,True,True,True,2785a7524c97e3b722fbaf29985698a3ab3e940a825686d83cdb797747285f39,b2ee2256b0baa5e2919713d3251f09d4a0ca6dcf910d7b48eab48502d9516a9a,e195a6a097dfc24f16d922ef0c516dc01518dcd997ca7453720dfa2e5c2f2873,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
